80411272, VITVAL, Beds, 1295.0, No old price, true, https://www.ikea.com/sa/en/p/vitval-bunk-bed-frame-white-light-grey-80411272/, false,         Bunk bed frame          90x200 cm, IKEA of Sweden, 0, 162, 97
99294560, VITTSJÖ, Bookcases & shelving units, 695.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-tv-storage-combination-black-brown-glass-s99294560/, false,         TV storage combination          202x36x175 cm, Johan Kroon, 36, 175, 202
99294560, VITTSJÖ, TV & media furniture, 695.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-tv-storage-combination-black-brown-glass-s99294560/, false,         TV storage combination          202x36x175 cm, Johan Kroon, 36, 175, 202
69294566, VITTSJÖ, Bookcases & shelving units, 1035.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-tv-storage-combination-black-brown-glass-s69294566/, false,         TV storage combination          300x36x175 cm, Johan Kroon, 36, 175, 300
69294566, VITTSJÖ, TV & media furniture, 1035.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-tv-storage-combination-black-brown-glass-s69294566/, false,         TV storage combination          300x36x175 cm, Johan Kroon, 36, 175, 300
70303428, VITTSJÖ, TV & media furniture, 245.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-tv-bench-black-brown-glass-70303428/, false,         TV bench          100x36x53 cm, Johan Kroon, 36, 53, 100
89294532, VITTSJÖ, Bookcases & shelving units, 790.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s89294532/, false,         Storage combination          200x36x175 cm, Johan Kroon, 36, 175, 200
79294542, VITTSJÖ, Bookcases & shelving units, 640.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s79294542/, false,         Storage combination          200x36x175 cm, Johan Kroon, 36, 175, 200
59902658, VITTSJÖ, Bookcases & shelving units, 620.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s59902658/, false,         Storage combination          151x36x175 cm, Johan Kroon, 36, 175, 151
49294548, VITTSJÖ, Bookcases & shelving units, 1035.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s49294548/, false,         Storage combination          300x36x175 cm, Johan Kroon, 36, 175, 300
29294554, VITTSJÖ, Bookcases & shelving units, 695.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s29294554/, false,         Storage combination          202x36x175 cm, Johan Kroon, 36, 175, 202
9294526, VITTSJÖ, Bookcases & shelving units, 490.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-storage-combination-black-brown-glass-s09294526/, false,         Storage combination          200x36x93 cm, Johan Kroon, 36, 93, 200
99902661, VITTSJÖ, Bookcases & shelving units, 609.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-with-laptop-table-black-brown-glass-s99902661/, false,         Shelving unit with laptop table          202x36x175 cm, Johan Kroon, 36, 0, 202
99902661, VITTSJÖ, Tables & desks, 609.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-with-laptop-table-black-brown-glass-s99902661/, false,         Shelving unit with laptop table          202x36x175 cm, Johan Kroon, 36, 0, 202
79902657, VITTSJÖ, Bookcases & shelving units, 554.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-with-laptop-table-black-brown-glass-s79902657/, false,         Shelving unit with laptop table          200x36x175 cm, Johan Kroon, 36, 0, 200
79902657, VITTSJÖ, Tables & desks, 554.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-with-laptop-table-black-brown-glass-s79902657/, false,         Shelving unit with laptop table          200x36x175 cm, Johan Kroon, 36, 0, 200
90305803, VITTSJÖ, Bookcases & shelving units, 245.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-black-brown-glass-90305803/, false,         Shelving unit          100x93 cm, Johan Kroon, 36, 93, 100
50214678, VITTSJÖ, Bookcases & shelving units, 225.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-black-brown-glass-50214678/, false,         Shelving unit          51x175 cm, Johan Kroon, 36, 175, 51
20213312, VITTSJÖ, Bookcases & shelving units, 395.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-shelving-unit-black-brown-glass-20213312/, false,         Shelving unit          100x175 cm, Johan Kroon, 36, 175, 100
80215332, VITTSJÖ, Tables & desks, 249.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-nest-of-tables-set-of-2-black-brown-glass-80215332/, false,         Nest of tables set of 2          90x50 cm, Johan Kroon, 0, 50, 50
80221352, VITTSJÖ, Tables & desks, 159.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-laptop-table-black-brown-glass-80221352/, false,         Laptop table          100x36 cm, Johan Kroon, 36, 74, 100
250249, VITTSJÖ, Tables & desks, 129.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-laptop-stand-black-brown-glass-00250249/, false,         Laptop stand          35x65 cm, Johan Kroon, 55, 65, 35
80213309, VITTSJÖ, Tables & desks, 179.0, No old price, true, https://www.ikea.com/sa/en/p/vittsjoe-coffee-table-black-brown-glass-80213309/, false,         Coffee table          75 cm, Johan Kroon, 0, 0, 45
50347616, VISTHUS, Wardrobes, 1645.0, No old price, true, https://www.ikea.com/sa/en/p/visthus-wardrobe-grey-white-50347616/, false,         Wardrobe          122x59x216 cm, T Winkel/T Jacobsen, 59, 216, 122
347614, VISTHUS, Wardrobes, 895.0, No old price, true, https://www.ikea.com/sa/en/p/visthus-wardrobe-grey-white-00347614/, false,         Wardrobe          63x59x216 cm, T Winkel/T Jacobsen, 59, 216, 62
80347163, VISTHUS, Chests of drawers & drawer units, 845.0, No old price, true, https://www.ikea.com/sa/en/p/visthus-chest-of-8-drawers-grey-white-80347163/, false,         Chest of 8 drawers          122x96 cm, T Winkel/T Jacobsen, 49, 96, 122
90347167, VISTHUS, Chests of drawers & drawer units, 521.5, SR 745, true, https://www.ikea.com/sa/en/p/visthus-chest-of-6-drawers-grey-white-90347167/, false,         Chest of 6 drawers          63x126 cm, T Winkel/T Jacobsen, 49, 126, 63
10395807, VIPPÄRT, Chairs, 29.0, No old price, true, https://www.ikea.com/sa/en/p/vippaert-chair-cushion-grey-10395807/, false,         Chair cushion          38x38x6.5 cm, IKEA of Sweden, 38, 0, 38
410101, VIPPÄRT, Chairs, 29.0, No old price, true, https://www.ikea.com/sa/en/p/vippaert-chair-cushion-beige-00410101/, false,         Chair cushion          38x38x6.5 cm, IKEA of Sweden, 38, 0, 38
10424353, VIMUND, Chairs, 299.0, No old price, true, https://www.ikea.com/sa/en/p/vimund-childrens-desk-chair-light-pink-10424353/, false,         Children's desk chair, IKEA of Sweden, 59, 0, 62
10424353, VIMUND, Children's furniture, 299.0, No old price, true, https://www.ikea.com/sa/en/p/vimund-childrens-desk-chair-light-pink-10424353/, false,         Children's desk chair, IKEA of Sweden, 59, 0, 62
69285294, VIMLE, Sofas & armchairs, 8395.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-u-shaped-sofa-6-seat-with-open-end-tallmyra-black-grey-s69285294/, false,         U-shaped sofa 6 seat, Ehlén Johansson, 249, 83, 327
79258308, VIMLE, Sofas & armchairs, 150.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-headrest-gunnared-medium-grey-s79258308/, false,         Headrest, Ehlén Johansson, 0, 20, 70
9299430, VIMLE, Sofas & armchairs, 775.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-footstool-with-storage-dalstorp-multicolour-s09299430/, false,         Footstool with storage, Ehlén Johansson, 0, 48, 73
79217921, VIMLE, Sofas & armchairs, 1910.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-u-shaped-sofa-6-seat-with-open-end-orrsta-black-blue-s79217921/, false,         Cover for u-shaped sofa 6-seat, Ehlén Johansson, 0, 0, 0
70410089, VIMLE, Sofas & armchairs, 50.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-headrest-gunnared-medium-grey-70410089/, false,         Cover for headrest, Ehlén Johansson, 0, 0, 0
351125, VIMLE, Sofas & armchairs, 125.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-footstool-with-storage-gunnared-medium-grey-00351125/, false,         Cover for footstool with storage, Ehlén Johansson, 0, 0, 0
19294347, VIMLE, Sofas & armchairs, 2310.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-bed-5-seat-with-chaise-longue-tallmyra-black-grey-s19294347/, false,         Cover for corner sofa-bed 5-seat, Ehlén Johansson, 0, 0, 0
49303393, VIMLE, Beds, 1400.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-bed-4-seat-with-open-end-dalstorp-multicolour-s49303393/, false,         Cover for corner sofa-bed 4-seat, Ehlén Johansson, 0, 0, 0
49303393, VIMLE, Sofas & armchairs, 1400.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-bed-4-seat-with-open-end-dalstorp-multicolour-s49303393/, false,         Cover for corner sofa-bed 4-seat, Ehlén Johansson, 0, 0, 0
89303428, VIMLE, Sofas & armchairs, 1990.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-5-seat-with-chaise-longue-dalstorp-multicolour-s89303428/, false,         Cover for corner sofa 5-seat, Ehlén Johansson, 0, 0, 0
9217972, VIMLE, Sofas & armchairs, 1400.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-5-seat-orrsta-black-blue-s09217972/, false,         Cover for corner sofa 5-seat, Ehlén Johansson, 0, 0, 0
9253639, VIMLE, Sofas & armchairs, 1900.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-4-seat-with-open-end-tallmyra-black-grey-s09253639/, false,         Cover for corner sofa 4-seat, Ehlén Johansson, 98, 80, 235
9218189, VIMLE, Sofas & armchairs, 1615.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-4-seat-gunnared-medium-grey-s09218189/, false,         Cover for corner sofa 4-seat, Ehlén Johansson, 0, 0, 0
59218243, VIMLE, Sofas & armchairs, 1280.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-3-seat-with-open-end-gunnared-medium-grey-s59218243/, false,         Cover for corner sofa 3-seat, Ehlén Johansson, 0, 0, 0
90351084, VIMLE, Sofas & armchairs, 425.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-corner-section-gunnared-medium-grey-90351084/, false,         Cover for corner section, Ehlén Johansson, 0, 0, 0
50351104, VIMLE, Sofas & armchairs, 190.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-chaise-longue-section-gunnared-medium-grey-50351104/, false,         Cover for chaise longue section, Ehlén Johansson, 0, 0, 0
79305220, VIMLE, Sofas & armchairs, 350.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-chaise-longue-gunnared-beige-s79305220/, false,         Cover for chaise longue, Ehlén Johansson, 164, 83, 111
90409457, VIMLE, Sofas & armchairs, 100.0, No old price, true, https://www.ikea.com/sa/en/p/vimle-cover-for-armrest-tallmyra-black-grey-90409457/, false,         Cover for armrest, Ehlén Johansson, 0, 0, 0
